ENS,symbol
ENSMUSG00000033257,Ttll4
ENSMUSG00000026170,Cyp27a1
ENSMUSG00000006542,Prkag3
ENSMUSG00000033227,Wnt6
ENSMUSG00000026167,Wnt10a
ENSMUSG00000090071,Cdk5r2
ENSMUSG00000055197,Fev
ENSMUSG00000006546,Cryba2
ENSMUSG00000047021,Cfap65
ENSMUSG00000006538,Ihh
ENSMUSG00000026162,Nhej1
ENSMUSG00000026205,Slc23a3
ENSMUSG00000033159,Cnppd1
ENSMUSG00000049339,Retreg2
ENSMUSG00000026197,Zfand2b
ENSMUSG00000026198,Abcb6
ENSMUSG00000033124,Atg9a
ENSMUSG00000026199,Ankzf1
ENSMUSG00000026200,Glb1l
ENSMUSG00000026201,Stk16
ENSMUSG00000026202,Tuba4a
ENSMUSG00000096094,A630095N17Rik
ENSMUSG00000026203,Dnajb2
ENSMUSG00000026204,Ptprn
ENSMUSG00000033061,Resp18
ENSMUSG00000026209,Dnpep
ENSMUSG00000026208,Des
ENSMUSG00000026207,Speg
ENSMUSG00000033021,Gmppa
ENSMUSG00000033007,Asic4
ENSMUSG00000032997,Chpf
ENSMUSG00000026211,Obsl1
ENSMUSG00000051703,Tmem198
ENSMUSG00000032968,Inha
ENSMUSG00000026213,Stk11ip
ENSMUSG00000006576,Slc4a3
ENSMUSG00000026235,Epha4
ENSMUSG00000004872,Pax3
ENSMUSG00000032908,Sgpp2
ENSMUSG00000026245,Farsb
ENSMUSG00000090486,BC035947
ENSMUSG00000012187,Mogat1
ENSMUSG00000032883,Acsl3
ENSMUSG00000079470,Utp14b
ENSMUSG00000047330,Kcne4
ENSMUSG00000050711,Scg2
ENSMUSG00000054702,Ap1s3
ENSMUSG00000073643,Wdfy1
ENSMUSG00000026248,Mrpl44
ENSMUSG00000026249,Serpine2
ENSMUSG00000043230,Fam124b
ENSMUSG00000004364,Cul3
ENSMUSG00000110100,Gm45261
ENSMUSG00000038608,Dock10
ENSMUSG00000054976,Nyap2
ENSMUSG00000055980,Irs1
ENSMUSG00000022591,Gm9747
ENSMUSG00000026142,Rhbdd1
ENSMUSG00000067158,Col4a4
ENSMUSG00000079465,Col4a3
ENSMUSG00000026150,Mff
ENSMUSG00000026149,Tm4sf20
ENSMUSG00000114299,Gm47791
ENSMUSG00000026159,Agfg1
ENSMUSG00000113880,A030005L19Rik
ENSMUSG00000113973,A030014E15Rik
ENSMUSG00000113846,Gm6217
ENSMUSG00000113084,A030003K21Rik
ENSMUSG00000113925,Gm7544
ENSMUSG00000114011,Gm47955
ENSMUSG00000113097,Gm47959
ENSMUSG00000038496,Slc19a3
ENSMUSG00000100190,Krtap28-10
ENSMUSG00000113267,Gm47969
ENSMUSG00000104423,A030005K14Rik
ENSMUSG00000101315,Krtap28-13
ENSMUSG00000026166,Ccl20
ENSMUSG00000053161,Daw1
ENSMUSG00000026163,Sphkap
ENSMUSG00000045658,Pid1
ENSMUSG00000036766,Dner
ENSMUSG00000026219,Trip12
ENSMUSG00000073633,Fbxo36
ENSMUSG00000026220,Slc16a14
ENSMUSG00000118590,AC167036.1
ENSMUSG00000052477,C130026I21Rik
ENSMUSG00000118640,AC167036.2
ENSMUSG00000089844,A530032D15Rik
ENSMUSG00000079457,Gm7609
ENSMUSG00000118591,AC147806.1
ENSMUSG00000118607,AC147806.2
ENSMUSG00000094127,G530012D18Rik
ENSMUSG00000070034,Sp110
ENSMUSG00000070031,Sp140
ENSMUSG00000026222,Sp100
ENSMUSG00000052760,A630001G21Rik
ENSMUSG00000036707,Cab39
ENSMUSG00000026223,Itm2c
ENSMUSG00000026224,4933407L21Rik
ENSMUSG00000049608,Gpr55
ENSMUSG00000026226,Spata3
ENSMUSG00000026227,2810459M11Rik
ENSMUSG00000026229,Psmd1
ENSMUSG00000026228,Htr2b
ENSMUSG00000094638,Gm21972
ENSMUSG00000062590,Armc9
ENSMUSG00000079445,B3gnt7
ENSMUSG00000026234,Ncl
ENSMUSG00000026237,Nmur1
ENSMUSG00000036574,Tex44
ENSMUSG00000026238,Ptma
ENSMUSG00000026239,Pde6d
ENSMUSG00000026240,Cops7b
ENSMUSG00000026241,Nppc
ENSMUSG00000053333,Dis3l2
ENSMUSG00000026246,Alppl2
ENSMUSG00000079440,Alpi
ENSMUSG00000036500,Akp3
ENSMUSG00000026247,Ecel1
ENSMUSG00000036480,Prss56
ENSMUSG00000026251,Chrnd
ENSMUSG00000026253,Chrng
ENSMUSG00000026254,Eif4e2
ENSMUSG00000026255,Efhd1
ENSMUSG00000048000,Gigyf2
ENSMUSG00000079436,Kcnj13
ENSMUSG00000026258,Snorc
ENSMUSG00000026259,Ngef
ENSMUSG00000079434,Neu2
ENSMUSG00000026288,Inpp5d
ENSMUSG00000026289,Atg16l1
ENSMUSG00000056055,Sag
ENSMUSG00000070738,Dgkd
ENSMUSG00000005501,Usp40
ENSMUSG00000090165,Ugt1a10
ENSMUSG00000090175,Ugt1a9
ENSMUSG00000089675,Ugt1a8
ENSMUSG00000090124,Ugt1a7c
ENSMUSG00000090145,Ugt1a6b
ENSMUSG00000054545,Ugt1a6a
ENSMUSG00000089943,Ugt1a5
ENSMUSG00000090171,Ugt1a2
ENSMUSG00000081984,Dnajb3
ENSMUSG00000089960,Ugt1a1
ENSMUSG00000079429,Mroh2a
ENSMUSG00000044783,Hjurp
ENSMUSG00000036251,Trpm8
ENSMUSG00000026295,Spp2
ENSMUSG00000062310,Glrp1
ENSMUSG00000049866,Arl4c
ENSMUSG00000036206,Sh3bp4
ENSMUSG00000055013,Agap1
ENSMUSG00000034486,Gbx2
ENSMUSG00000067081,Asb18
ENSMUSG00000026301,Iqca
ENSMUSG00000044337,Ackr3
ENSMUSG00000034432,Cops8
ENSMUSG00000048126,Col6a3
ENSMUSG00000026303,Mlph
ENSMUSG00000090550,Prlh
ENSMUSG00000026304,Rab17
ENSMUSG00000026305,Lrrfip1
ENSMUSG00000070732,Rbm44
ENSMUSG00000034353,Ramp1
ENSMUSG00000034343,Ube2f
ENSMUSG00000026307,Scly
ENSMUSG00000049515,Espnl
ENSMUSG00000026308,Klhl30
ENSMUSG00000047443,Erfe
ENSMUSG00000026309,Ilkap
ENSMUSG00000067071,Hes6
ENSMUSG00000055866,Per2
ENSMUSG00000034292,Traf3ip1
ENSMUSG00000026311,Asb1
ENSMUSG00000007805,Twist2
ENSMUSG00000026313,Hdac4
ENSMUSG00000026260,Ndufa10
ENSMUSG00000067064,Olfr1416
ENSMUSG00000057464,Olfr1415
ENSMUSG00000042849,Olfr1414
ENSMUSG00000058904,Olfr1413
ENSMUSG00000046300,Olfr1412
ENSMUSG00000062497,Olfr1411
ENSMUSG00000063583,Olfr1410
ENSMUSG00000061616,Olfr12
ENSMUSG00000073616,Cops9
ENSMUSG00000044055,Otos
ENSMUSG00000034220,Gpc1
ENSMUSG00000034212,Ankmy1
ENSMUSG00000047067,Dusp28
ENSMUSG00000026269,Rnpepl1
ENSMUSG00000026270,Capn10
ENSMUSG00000026271,Gpr35
ENSMUSG00000045091,Aqp12
ENSMUSG00000014602,Kif1a
ENSMUSG00000026272,Agxt
ENSMUSG00000034159,Mab21l4
ENSMUSG00000084989,Crocc2
ENSMUSG00000047793,Sned1
ENSMUSG00000026273,Mterf4
ENSMUSG00000026274,Pask
ENSMUSG00000026275,Ppp1r7
ENSMUSG00000034107,Ano7
ENSMUSG00000034088,Hdlbp
ENSMUSG00000026276,Septin2
ENSMUSG00000116048,Septin2
ENSMUSG00000034066,Farp2
ENSMUSG00000026277,Stk25
ENSMUSG00000026278,Bok
ENSMUSG00000026279,Thap4
ENSMUSG00000026280,Atg4b
ENSMUSG00000026281,Dtymk
ENSMUSG00000026283,Ing5
ENSMUSG00000073609,D2hgdh
ENSMUSG00000094651,Gal3st2
ENSMUSG00000093805,Gal3st2b
ENSMUSG00000073608,Gal3st2c
ENSMUSG00000034000,Neu4
ENSMUSG00000026285,Pdcd1
ENSMUSG00000051185,Fam174a
ENSMUSG00000040710,St8sia4
ENSMUSG00000040693,Slco4c1
ENSMUSG00000026331,Slco6c1
ENSMUSG00000044768,D1Ertd622e
ENSMUSG00000040648,Ppip5k2
ENSMUSG00000026333,Gin1
ENSMUSG00000026335,Pam
ENSMUSG00000026336,Slco6d1
ENSMUSG00000067028,Cntnap5b
ENSMUSG00000050840,Cdh20
ENSMUSG00000047496,Rnf152
ENSMUSG00000056536,Pign
ENSMUSG00000026319,Relch
ENSMUSG00000026321,Tnfrsf11a
ENSMUSG00000038866,Zcchc2
ENSMUSG00000044340,Phlpp1
ENSMUSG00000057329,Bcl2
ENSMUSG00000009905,Kdsr
ENSMUSG00000009907,Vps4b
ENSMUSG00000067006,Serpinb5
ENSMUSG00000059956,Serpinb12
ENSMUSG00000048775,Serpinb13
ENSMUSG00000044594,Serpinb3a
ENSMUSG00000058017,Serpinb3d
ENSMUSG00000073602,Serpinb3b
ENSMUSG00000073601,Serpinb3c
ENSMUSG00000026327,Serpinb11
ENSMUSG00000067001,Serpinb7
ENSMUSG00000062345,Serpinb2
ENSMUSG00000026315,Serpinb8
ENSMUSG00000026312,Cdh7
ENSMUSG00000047216,Cdh19
ENSMUSG00000038702,Dsel
ENSMUSG00000070695,Cntnap5a
ENSMUSG00000094429,Gm19965
ENSMUSG00000100265,Gm28363
ENSMUSG00000101303,B020011L13Rik
ENSMUSG00000100305,Gm28360
ENSMUSG00000101415,Gm28168
ENSMUSG00000100617,Gm7145
ENSMUSG00000102030,Gm29106
ENSMUSG00000026374,Tsn
ENSMUSG00000026377,Nifk
ENSMUSG00000064302,Clasp1
ENSMUSG00000026380,Tfcp2l1
ENSMUSG00000048402,Gli2
ENSMUSG00000037035,Inhbb
ENSMUSG00000004451,Ralb
ENSMUSG00000098923,Tmem185b
ENSMUSG00000026383,Epb41l5
ENSMUSG00000026384,Ptpn4
ENSMUSG00000036975,Tmem177
ENSMUSG00000036962,Cfap221
ENSMUSG00000026387,Sctr
ENSMUSG00000050777,Tmem37
ENSMUSG00000026385,Dbi
ENSMUSG00000026388,3110009E18Rik
ENSMUSG00000026389,Steap3
ENSMUSG00000036907,C1ql2
ENSMUSG00000026390,Marco
ENSMUSG00000058665,En1
ENSMUSG00000003721,Insig2
ENSMUSG00000026339,Ccdc93
ENSMUSG00000050534,Htr5b
ENSMUSG00000001674,Ddx18
ENSMUSG00000036815,Dpp10
ENSMUSG00000026341,Actr3
ENSMUSG00000026342,Slc35f5
ENSMUSG00000026343,Gpr39
ENSMUSG00000026344,Lypd1
ENSMUSG00000049690,Nckap5
ENSMUSG00000036155,Mgat5
ENSMUSG00000026347,Tmem163
ENSMUSG00000026348,Acmsd
ENSMUSG00000026349,Ccnt2
ENSMUSG00000051590,Map3k19
ENSMUSG00000036104,Rab3gap1
ENSMUSG00000036086,Zranb3
ENSMUSG00000056211,R3hdm1
ENSMUSG00000026353,Ubxn4
ENSMUSG00000026354,Lct
ENSMUSG00000026355,Mcm6
ENSMUSG00000026356,Dars
ENSMUSG00000045382,Cxcr4
ENSMUSG00000042581,Thsd7b
ENSMUSG00000026401,Cd55b
ENSMUSG00000026399,Cd55
ENSMUSG00000042554,Zp3r
ENSMUSG00000026405,C4bp
ENSMUSG00000101904,Gm29427
ENSMUSG00000026409,Pfkfb2
ENSMUSG00000046404,Yod1
ENSMUSG00000042510,AA986860
ENSMUSG00000026415,Fcamr
ENSMUSG00000026417,Pigr
ENSMUSG00000042474,Fcmr
ENSMUSG00000026420,Il24
ENSMUSG00000026416,Il20
ENSMUSG00000016524,Il19
ENSMUSG00000016529,Il10
ENSMUSG00000016528,Mapkapk2
ENSMUSG00000016526,Dyrk3
ENSMUSG00000026427,Eif2d
ENSMUSG00000026430,Rassf5
ENSMUSG00000042349,Ikbke
ENSMUSG00000026425,Srgap2
ENSMUSG00000055184,Fam72a
ENSMUSG00000026432,Avpr1b
ENSMUSG00000004552,Ctse
ENSMUSG00000052688,Rab7b
ENSMUSG00000042268,Slc26a9
ENSMUSG00000042251,Pm20d1
ENSMUSG00000013275,Slc41a1
ENSMUSG00000026433,Rab29
ENSMUSG00000026434,Nucks1
ENSMUSG00000026435,Slc45a3
ENSMUSG00000026436,Elk4
ENSMUSG00000059149,Mfsd4a
ENSMUSG00000026437,Cdk18
ENSMUSG00000079330,Lemd1
ENSMUSG00000118219,Gm29695
ENSMUSG00000066936,Gm10188
ENSMUSG00000042115,Klhdc8a
ENSMUSG00000009772,Nuak2
ENSMUSG00000042066,Tmcc2
ENSMUSG00000042046,Dstyk
ENSMUSG00000026439,Rbbp5
ENSMUSG00000048174,Tmem81
ENSMUSG00000053024,Cntn2
ENSMUSG00000026442,Nfasc
ENSMUSG00000026443,Lrrn2
ENSMUSG00000054387,Mdm4
ENSMUSG00000026447,Pik3c2b
ENSMUSG00000046062,Ppp1r15b
ENSMUSG00000041757,Plekha6
ENSMUSG00000103421,Golt1a
ENSMUSG00000115958,Gm28040
ENSMUSG00000098306,Gm28040
ENSMUSG00000116158,Kiss1
ENSMUSG00000070645,Ren1
ENSMUSG00000070644,Etnk2
ENSMUSG00000070643,Sox13
ENSMUSG00000090553,Snrpe
ENSMUSG00000102976,Zc3h11a
ENSMUSG00000116275,Zc3h11a
ENSMUSG00000094410,Gm38394
ENSMUSG00000051998,Lax1
ENSMUSG00000026463,Atp2b4
ENSMUSG00000010311,Optc
ENSMUSG00000041577,Prelp
ENSMUSG00000041559,Fmod
ENSMUSG00000020423,Btg2
ENSMUSG00000026450,Chit1
ENSMUSG00000064246,Chil1
ENSMUSG00000042451,Mybph
ENSMUSG00000042429,Adora1
ENSMUSG00000026459,Myog
ENSMUSG00000026458,Ppfia4
ENSMUSG00000042305,Tmem183a
ENSMUSG00000050526,Mgat4f
ENSMUSG00000026456,Cyb5r1
ENSMUSG00000026457,Adipor1
ENSMUSG00000026455,Klhl12
ENSMUSG00000042229,Rabif
ENSMUSG00000046367,Mgat4e
ENSMUSG00000042207,Kdm5b
ENSMUSG00000026452,Syt2
ENSMUSG00000073557,Ppp1r12b
ENSMUSG00000026429,Ube2t
ENSMUSG00000042793,Lgr6
ENSMUSG00000031506,Ptpn7
ENSMUSG00000026426,Arl8a
ENSMUSG00000026424,Gpr37l1
ENSMUSG00000003051,Elf3
ENSMUSG00000041926,Rnpep
